trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 1.0}",20,0,-102.70711953894532,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.15, 'e': 0.8607079764250578}",25,0,-122.90771993013225,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.15, 'e': 0.7408182206817179}",25,0,-14.910900734431648,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.15, 'e': 0.6376281516217733}",30,12,-42.610336609098155,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.15, 'e': 0.5488116360940264}",20,13,0.18524318622980762,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.15, 'e': 0.4723665527410147}",20,0,-21.93091891885818,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.15, 'e': 0.40656965974059917}",25,0,-57.807274474734506,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.15, 'e': 0.3499377491111553}",20,14,8.797048111699524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.15, 'e': 0.30119421191220214}",20,0,3.365875987865071,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.15, 'e': 0.25924026064589156}",20,5,-6.637877664858501,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.15, 'e': 0.22313016014842982}",20,0,-48.968749811273696,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
12,False,"{'a': 0.15, 'e': 0.19204990862075413}",25,9,7.560797219482885,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.15, 'e': 0.16529888822158656}",35,20,1.736765871353303,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.15, 'e': 0.1422740715865136}",35,23,9.081998084503265,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.15, 'e': 0.1224564282529819}",20,8,23.916182489909225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.15, 'e': 0.10539922456186433}",20,0,11.705363738507202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.15, 'e': 0.09071795328941251}",35,6,-2.462010222740503,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.15, 'e': 0.07808166600115317}",25,14,9.731663369716877,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.15, 'e': 0.06720551273974978}",25,14,22.450867858517274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.15, 'e': 0.057844320874838456}",20,3,5.218354010321086,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.15, 'e': 0.049787068367863944}",25,13,21.989841994326603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.15, 'e': 0.04285212686704019}",25,12,22.759130342725914,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.15, 'e': 0.036883167401240015}",20,16,7.501318579191134,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.15, 'e': 0.03174563637806795}",20,10,7.4288969857096685,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.15, 'e': 0.02732372244729257}",25,5,24.564176062713518,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.15, 'e': 0.023517745856009107}",20,0,29.367978800344332,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.15, 'e': 0.02024191144580439}",25,2,31.624787321870368,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.15, 'e': 0.017422374639493515}",20,0,28.340605544408305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,2,15.176975494310259,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,7,29.342692739605393,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,12,13.37995821439312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,16,9.450208560413355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,23.525139305547174,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,20,12.035599296704884,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,10,20.243339771933197,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
