trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-79.89575883396225,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.42943746877856,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.0820988695597,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,7,-52.12579953376842,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.44347296370267,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.56602308901579,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.28771817927893,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.63841905162954,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.51869373152525,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.403596551779174,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.40613963961863,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.10119620424476,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-35.258425547201114,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-186.25835578651436,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.35448036515226,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.93393140425573,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.104402834613,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.23327859898161,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,10,-75.92417566984503,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.147530827856926,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.06288857776043,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.17956453942622,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,6,-160.51204322175047,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.441758856206455,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-45.46454041942745,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.70257451171688,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-137.6636393056272,"{0: 25, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.59312793602948,"{0: 6, 1: 6, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.01191537759875,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.8049803161624,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
